Rank,Country_Code,Count,Percentage,Status
1,--,1619,41.92,Large
2,BR,1550,40.13,Large
3,IN,227,5.88,Large
4,RU,113,2.93,Sanctioned
5,PT,54,1.40,Medium
6,MX,40,1.04,Medium
7,UA,37,0.96,Attention
8,US,32,0.83,Medium
9,BY,29,0.75,Sanctioned
10,KZ,20,0.52,Sanctioned
11,GB,9,0.23,Small
12,ES,9,0.23,Small
13,PL,8,0.21,Small
14,JP,8,0.21,Small
15,MD,7,0.18,Small
16,CA,7,0.18,Small
17,PE,5,0.13,Small
18,PK,5,0.13,Small
19,IL,4,0.10,Small
20,AR,3,0.08,Small
21,CZ,3,0.08,Small
22,LT,3,0.08,Small
23,GE,3,0.08,Small
24,TR,3,0.08,Small
25,DE,3,0.08,Small
26,IT,3,0.08,Small
27,EE,2,0.05,Small
28,AF,2,0.05,Small
29,NL,2,0.05,Small
30,AE,2,0.05,Small
31,LK,2,0.05,Small
32,CL,2,0.05,Small
33,AU,2,0.05,Small
34,DO,2,0.05,Small
35,HR,2,0.05,Small
36,HU,2,0.05,Small
37,KG,2,0.05,Small
38,UZ,2,0.05,Small
39,BE,2,0.05,Small
40,RS,2,0.05,Small
41,LV,2,0.05,Small
42,FI,2,0.05,Small
43,PH,1,0.03,Small
44,RE,1,0.03,Small
45,UY,1,0.03,Small
46,RO,1,0.03,Small
47,JM,1,0.03,Small
48,NZ,1,0.03,Small
49,CO,1,0.03,Small
50,BD,1,0.03,Small
51,IE,1,0.03,Small
52,NI,1,0.03,Small
53,KR,1,0.03,Small
54,GA,1,0.03,Small
55,VN,1,0.03,Small
56,EC,1,0.03,Small
57,BA,1,0.03,Small
58,DZ,1,0.03,Small
59,GI,1,0.03,Small
60,ZA,1,0.03,Small
61,KE,1,0.03,Small
62,AO,1,0.03,Small
63,AL,1,0.03,Small
64,AZ,1,0.03,Small
65,TH,1,0.03,Small
66,GR,1,0.03,Small
67,SK,1,0.03,Small
68,GF,1,0.03,Small
